"source_census","county_cd","pk_gndr","cd_race","age_grouping_cd","measurement_year","pop_cnt"
"2000",0,0,0,0,"2000",1513834.86
"2000",0,0,0,1,"2000",394303.46
"2000",0,0,0,2,"2000",425908.37
"2000",0,0,0,3,"2000",434835.41
"2000",0,0,0,4,"2000",258787.61
"2000",0,0,1,0,"2000",32650.67
"2000",0,0,1,1,"2000",8093.49
"2000",0,0,1,2,"2000",9129.01
"2000",0,0,1,3,"2000",9746.87
"2000",0,0,1,4,"2000",5681.3
"2000",0,0,2,0,"2000",79567.87
"2000",0,0,2,1,"2000",20756.98
"2000",0,0,2,2,"2000",21681.76
"2000",0,0,2,3,"2000",22490.38
"2000",0,0,2,4,"2000",14638.75
"2000",0,0,3,0,"2000",62935.57
"2000",0,0,3,1,"2000",16806.29
"2000",0,0,3,2,"2000",18116.82
"2000",0,0,3,3,"2000",17937.59
"2000",0,0,3,4,"2000",10074.88
"2000",0,0,4,0,"2000",8617.9
"2000",0,0,4,1,"2000",2243.72
"2000",0,0,4,2,"2000",2446.13
"2000",0,0,4,3,"2000",2373.48
"2000",0,0,4,4,"2000",1554.57
"2000",0,0,5,0,"2000",1248996.03
"2000",0,0,5,1,"2000",319901.16
"2000",0,0,5,2,"2000",351165.59
"2000",0,0,5,3,"2000",362011.07
"2000",0,0,5,4,"2000",215918.21
"2000",0,0,8,0,"2000",81066.82
"2000",0,0,8,1,"2000",26501.82
"2000",0,0,8,2,"2000",23369.07
"2000",0,0,8,3,"2000",20276.02
"2000",0,0,8,4,"2000",10919.91
"2000",0,0,9,0,"2000",177471.16
"2000",0,0,9,1,"2000",57956.05
"2000",0,0,9,2,"2000",52335.88
"2000",0,0,9,3,"2000",42911.27
"2000",0,0,9,4,"2000",24267.96
"2000",0,0,10,0,"2000",187608.73
"2000",0,0,10,1,"2000",52613.43
"2000",0,0,10,2,"2000",52498.71
"2000",0,0,10,3,"2000",51473.22
"2000",0,0,10,4,"2000",31023.36
"2000",0,0,11,0,"2000",1090263.71
"2000",0,0,11,1,"2000",268376.09
"2000",0,0,11,2,"2000",304310.88
"2000",0,0,11,3,"2000",323590.78
"2000",0,0,11,4,"2000",193985.96
"2000",0,0,12,0,"2000",58491.27
"2000",0,0,12,1,"2000",15357.89
"2000",0,0,12,2,"2000",16762.9
"2000",0,0,12,3,"2000",16860.15
"2000",0,0,12,4,"2000",9510.32
"2000",0,0,NA,0,"2000",1513834.87
"2000",0,0,NA,1,"2000",394303.46
"2000",0,0,NA,2,"2000",425908.37
"2000",0,0,NA,3,"2000",434835.42
"2000",0,0,NA,4,"2000",258787.62
"2000",0,1,0,0,"2000",736780.95
"2000",0,1,0,1,"2000",192239.73
"2000",0,1,0,2,"2000",207408.7
"2000",0,1,0,3,"2000",211898.71
"2000",0,1,0,4,"2000",125233.81
"2000",0,1,1,0,"2000",16026.28
"2000",0,1,1,1,"2000",3911.03
"2000",0,1,1,2,"2000",4551.22
"2000",0,1,1,3,"2000",4763.75
"2000",0,1,1,4,"2000",2800.27
"2000",0,1,2,0,"2000",39247.96
"2000",0,1,2,1,"2000",10360.23
"2000",0,1,2,2,"2000",10607.5
"2000",0,1,2,3,"2000",11083.17
"2000",0,1,2,4,"2000",7197.05
"2000",0,1,3,0,"2000",30306.23
"2000",0,1,3,1,"2000",8248.64
"2000",0,1,3,2,"2000",8770.19
"2000",0,1,3,3,"2000",8575.8
"2000",0,1,3,4,"2000",4711.59
"2000",0,1,4,0,"2000",4164.15
"2000",0,1,4,1,"2000",1088.55
"2000",0,1,4,2,"2000",1184.95
"2000",0,1,4,3,"2000",1157.79
"2000",0,1,4,4,"2000",732.86
"2000",0,1,5,0,"2000",607102.17
"2000",0,1,5,1,"2000",155561.82
"2000",0,1,5,2,"2000",170857.79
"2000",0,1,5,3,"2000",176395.59
"2000",0,1,5,4,"2000",104286.97
"2000",0,1,8,0,"2000",39934.16
"2000",0,1,8,1,"2000",13069.45
"2000",0,1,8,2,"2000",11437.05
"2000",0,1,8,3,"2000",9922.61
"2000",0,1,8,4,"2000",5505.05
"2000",0,1,9,0,"2000",86563.06
"2000",0,1,9,1,"2000",28429.39
"2000",0,1,9,2,"2000",25650.16
"2000",0,1,9,3,"2000",20967.1
"2000",0,1,9,4,"2000",11516.41
"2000",0,1,10,0,"2000",92345.41
"2000",0,1,10,1,"2000",25982.33
"2000",0,1,10,2,"2000",25740.53
"2000",0,1,10,3,"2000",25284.48
"2000",0,1,10,4,"2000",15338.1
"2000",0,1,11,0,"2000",529739.35
"2000",0,1,11,1,"2000",130309.46
"2000",0,1,11,2,"2000",147889.75
"2000",0,1,11,3,"2000",157615.79
"2000",0,1,11,4,"2000",93924.36
"2000",0,1,12,0,"2000",28133.12
"2000",0,1,12,1,"2000",7518.55
"2000",0,1,12,2,"2000",8128.27
"2000",0,1,12,3,"2000",8031.35
"2000",0,1,12,4,"2000",4454.95
"2000",0,1,NA,0,"2000",736780.95
"2000",0,1,NA,1,"2000",192239.73
"2000",0,1,NA,2,"2000",207408.69
"2000",0,1,NA,3,"2000",211898.72
"2000",0,1,NA,4,"2000",125233.82
"2000",0,2,0,0,"2000",777053.92
"2000",0,2,0,1,"2000",202063.74
"2000",0,2,0,2,"2000",218499.67
"2000",0,2,0,3,"2000",222936.7
"2000",0,2,0,4,"2000",133553.8
"2000",0,2,1,0,"2000",16624.39
"2000",0,2,1,1,"2000",4182.46
"2000",0,2,1,2,"2000",4577.79
"2000",0,2,1,3,"2000",4983.12
"2000",0,2,1,4,"2000",2881.03
"2000",0,2,2,0,"2000",40319.91
"2000",0,2,2,1,"2000",10396.75
"2000",0,2,2,2,"2000",11074.26
"2000",0,2,2,3,"2000",11407.2
"2000",0,2,2,4,"2000",7441.7
"2000",0,2,3,0,"2000",32629.33
"2000",0,2,3,1,"2000",8557.65
"2000",0,2,3,2,"2000",9346.63
"2000",0,2,3,3,"2000",9361.79
"2000",0,2,3,4,"2000",5363.26
"2000",0,2,4,0,"2000",4453.75
"2000",0,2,4,1,"2000",1155.17
"2000",0,2,4,2,"2000",1261.17
"2000",0,2,4,3,"2000",1215.7
"2000",0,2,4,4,"2000",821.71
"2000",0,2,5,0,"2000",641893.86
"2000",0,2,5,1,"2000",164339.34
"2000",0,2,5,2,"2000",180307.79
"2000",0,2,5,3,"2000",185615.48
"2000",0,2,5,4,"2000",111631.25
"2000",0,2,8,0,"2000",41132.66
"2000",0,2,8,1,"2000",13432.37
"2000",0,2,8,2,"2000",11932.02
"2000",0,2,8,3,"2000",10353.41
"2000",0,2,8,4,"2000",5414.86
"2000",0,2,9,0,"2000",90908.11
"2000",0,2,9,1,"2000",29526.66
"2000",0,2,9,2,"2000",26685.73
"2000",0,2,9,3,"2000",21944.17
"2000",0,2,9,4,"2000",12751.55
"2000",0,2,10,0,"2000",95263.3
"2000",0,2,10,1,"2000",26631.1
"2000",0,2,10,2,"2000",26758.19
"2000",0,2,10,3,"2000",26188.73
